Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Bahrain	BHR	GDP per capita (current US$)	NY.GDP.PCAP.CD																					8537.929379	9269.269617	9446.158002	9421.285655	9590.683099	8706.725084	7041.56947	7555.066809	7958.679492	8030.85458	8528.983334	9055.591114	9082.741169	9698.134804	10130.41307	10376.93489	10544.66713	10672.18394	10076.18778	10401.48045	13636.34668	12868.211	13102.33457	14221.99259	15846.47641	17959.17854	19307.99549	20977.11053	23067.56535	19356.67236	20722.10389	22512.1596	23649.36661	24737.17178	24983.37902	22688.87824	22628.95679	23739.15717	
"Bahamas, The"	BHS	GDP per capita (current US$)	NY.GDP.PCAP.CD	1550.324315	1651.475477	1752.970293	1867.112988	1994.54492	2144.830971	2322.943853	2556.835301	2804.705131	3215.486672	3179.276272	3297.998999	3322.668256	3696.66314	3416.550062	3156.468059	3328.633192	3617.251193	4130.75087	5532.150831	6338.619868	6622.685658	7165.134491	7694.937985	8873.769102	9888.48935	10339.52102	11150.69004	11381.82156	12158.07885	12350.97684	11914.85776	11682.08496	11402.65152	11812.46489	12239.8715	12717.15001	22066.27871	23557.95353	26173.71548	27112.2562	27439.3587	28727.02219	28092.48573	28076.1551	29874.65414	30274.99032	31018.02949	30188.48444	28129.6075	27979.11493	27472.25617	28815.5274	28171.986	28671.34697	30483.8201	30260.30591	30762.01244	
Bosnia and Herzegovina	BIH	GDP per capita (current US$)	NY.GDP.PCAP.CD																																			318.0200012	485.6172767	736.9753294	978.516728	1097.644555	1246.497114	1461.75052	1524.412022	1761.537647	2214.732246	2802.274917	2967.834056	3403.815297	4180.913532	5078.314577	4701.334426	4614.829041	5054.325344	4722.013403	5042.582213	5204.243718	4584.242548	4808.636043	5148.208517	
Belarus	BLR	GDP per capita (current US$)	NY.GDP.PCAP.CD																															2124.840514	1765.744556	1667.681777	1590.095882	1460.059076	1370.676559	1452.445488	1396.501786	1511.770053	1210.61172	1276.288034	1244.373185	1479.314583	1819.766059	2378.623286	3125.810535	3847.434124	4735.657608	6377.369732	5351.355382	6181.399916	6519.230195	6940.159254	7978.872615	8318.51269	5949.106307	5025.405064	5733.30721	
Belize	BLZ	GDP per capita (current US$)	NY.GDP.PCAP.CD	304.9171073	316.4036061	327.1268675	336.9414661	351.1611263	377.5943052	406.0979671	420.4318882	386.953237	396.6543063	435.6904694	474.4442162	519.5635077	605.9334407	786.069092	885.9845291	717.0401829	858.8280811	980.8225093	1074.271965	1373.093007	1328.828149	1202.682026	1232.837378	1336.98759	1289.367289	1366.04973	1612.451575	1787.951383	2011.968729	2197.185023	2326.845903	2666.977671	2833.061341	2880.211133	2996.382928	3001.665138	2952.602141	2991.924971	3065.492248	3364.423711	3419.275719	3556.561825	3679.909523	3831.538019	3933.262143	4187.290497	4324.773045	4470.220796	4253.246753	4342.963173	4515.892701	4644.559565	4673.245037	4813.718033	4905.536645	4923.358922	4971.201636	
Bermuda	BMU	GDP per capita (current US$)	NY.GDP.PCAP.CD	1902.402119	1961.538169	2020.385965	2020.265248	2199.727007	2282.216546	2630.850466	2982.749704	2830.188679	3053.703704	3387.272727	3866.300366	4343.173432	5009.29368	5853.932584	6509.433962	7261.278195	8370.786517	8876.865672	9613.3829	11218.21782	13425.97697	14166.17129	15902.02038	17469.82557	18269.53552	20450.66453	22411.79567	24253.17552	25517.92172	26841.51974	27700.30952	28669.68226	30900.69489	31476.06312	33989.72236	44826.78907	48478.88325	51371.74081	54245.45974	56284.16865	58883.95943	62583.1002	66111.72523	70359.31911	75882.03386	83912.6978	90849.58698	93605.74817	88463.31282	88207.32756	85973.15842	85458.45551	85748.06541					
Bolivia	BOL	GDP per capita (current US$)	NY.GDP.PCAP.CD	101.2277044	108.0225195	115.8556405	122.3505396	135.1818613	148.4740798	161.1474645	178.3775746	198.4041998	210.6289052	225.7109354	238.1482935	267.6869789	263.2001973	428.4328638	480.0507642	533.6080314	616.667074	702.4289173	808.4191206	809.8856895	1028.215905	957.5520121	909.8116366	1013.80414	865.6901106	624.5512323	668.80168	697.3705601	701.4646141	709.9488612	764.1413321	791.3804293	788.3990281	806.2214519	887.4685243	958.4737662	1006.964739	1058.71875	1012.509773	1007.002869	958.2366524	913.5756423	917.3643105	978.3346485	1046.427384	1233.591869	1389.62935	1736.930084	1776.866476	1981.170116	2377.688771	2645.227753	2947.938526	3124.00031	3077.026199	3117.330459	3393.955818	
Brazil	BRA	GDP per capita (current US$)	NY.GDP.PCAP.CD	210.0274704	204.9293015	260.2252661	291.950589	261.3310831	260.9646925	315.2773824	346.8801004	374.0832618	403.0652523	444.0262676	503.4787661	584.5506848	772.8187913	1000.634253	1149.586121	1385.29853	1560.86306	1737.367552	1901.001325	1939.790876	2124.962989	2218.890515	1565.297832	1573.967139	1643.196503	1936.016335	2081.665262	2294.401695	2901.285449	3093.037479	3966.795488	2591.797116	2786.171356	3494.640541	4740.119813	5156.809075	5271.412222	5075.631211	3469.502236	3739.116139	3146.948904	2819.64812	3059.586507	3623.049912	4770.183853	5860.145786	7313.557794	8787.610627	8553.381382	11224.15408	13167.47289	12291.46685	12216.90446	12026.61939	8750.222996	8650.376373	9812.278531	
Barbados	BRB	GDP per capita (current US$)	NY.GDP.PCAP.CD															1275.090425	1634.646451	1761.656248	1990.070374	2211.251788	2668.884699	3411.614881	3741.701178	3897.754242	4127.46679	4486.530348	4682.364447	5124.395353	5623.652568	5960.282482	6567.431164	7770.815258	7681.981933	7440.957495	7777.554485	8148.382411	8537.056187	9069.168909	9549.894079	10727.59584	11200.57763	11567.66612	11513.93686	11675.34754	12028.48034	12868.78733	14223.25544	15185.1192	16919.24679	17243.67966	16087.72938	16203.15557	16610.41835	16536.21464	16326.91348	16261.79932	16129.04928	15891.62655	16356.98011	
Brunei Darussalam	BRN	GDP per capita (current US$)	NY.GDP.PCAP.CD						1113.402447	1237.079237	1235.892097	1363.453044	1303.739413	1381.972167	1455.308336	1906.192984	2915.266583	6921.436446	7226.430873	8459.324214	9914.123812	10711.86604	14941.0624	25412.99495	21821.79499	20687.39975	18123.85989	17332.97479	15694.53999	10211.59628	11591.78627	11006.87051	11869.98727	13604.15683	13901.72173	15270.48612	14572.10853	14117.39214	15929.16376	16789.03717	16656.08988	12690.68932	14097.93159	18008.44826	16468.12886	16846.02198	18555.56649	21896.60527	26102.13345	30980.96692	32672.36717	37951.2806	27965.47504	35268.10117	47017.0273	47651.25909	44597.27968	41530.66898	30967.89051	26939.41802	28290.5852	
